,unit,pre_rmspe,post_rmspe,post/pre
0,California,2.6694067225178153,20.92336434384031,7.838207706356995
1,Alabama,41.78559308510154,53.348992492829716,1.2767317286648985
2,Arkansas,17.985545727248017,33.483718129906414,1.861701537317199
3,Colorado,5.2887920962801935,5.228059615652541,0.9885167577923194
4,Connecticut,10.118954603388566,8.517688041304007,0.841755732202975
5,Delaware,12.973849545054092,31.457569444309165,2.424690477183887
6,Georgia,16.004201434205346,22.711683193131034,1.4191075566313462
7,Idaho,3.650176671358718,8.574041244569507,2.3489386998295516
8,Illinois,8.61584074898929,9.365239489211657,1.0869791773147939
9,Indiana,11.416001553855216,34.31520025196987,3.005886088056946
10,Iowa,8.686212317174254,16.670342340926002,1.919172791570572
11,Kansas,11.374575394758338,10.134767236707242,0.8910018075380266
12,Kentucky,23.388481195485497,47.254400147852195,2.020413371560585
13,Louisiana,12.14305588219615,19.242339843731866,1.5846373458549683
14,Maine,10.269861127886822,18.04355813185949,1.7569427577617327
15,Minnesota,10.253842825373122,9.716947538754214,0.9476396024629555
16,Mississippi,12.401383370553289,27.28664292272783,2.200290250482792
17,Missouri,13.118587603477481,32.50223013289489,2.4775708418701403
18,Montana,19.846821301898036,20.149979321742904,1.0152748903833722
19,Nebraska,38.81243018469864,36.08088136395785,0.9296218039493525
20,Nevada,8.01728158888795,15.961770886635339,1.9909205769644598
21,New Hampshire,59.03775776657908,17.684904108683554,0.2995524352162113
22,New Mexico,3.4971334921739885,10.135413470974026,2.8982060575198
23,North Carolina,12.185373700950844,10.8413400655233,0.8897010737288535
24,North Dakota,40.43244528319983,27.834825309313523,0.6884279472673701
25,Ohio,14.289574662610807,26.25166762405655,1.837120295311868
26,Oklahoma,13.413430759520265,19.291806999794186,1.438245542521007
27,Pennsylvania,12.112944059556135,18.873370563457048,1.5581158858376367
28,Rhode Island,14.84553492837524,9.590490364199287,0.6460185106478282
29,South Carolina,15.057734043299586,30.81924124523127,2.0467383177713425
30,South Dakota,35.74194793383911,38.018011082468114,1.0636804449730093
31,Tennessee,18.595715598080464,39.30248610461121,2.1135237252535846
32,Texas,11.787879617201474,6.128225238457809,0.519875112188556
33,Utah,42.26846528908677,29.896474151087865,0.7072997315283834
34,Vermont,16.53947717640708,19.983662267188283,1.2082402638273355
35,Virginia,13.470286937625252,15.135016829075857,1.1235853326034708
36,West Virginia,8.226477086505387,29.725948818971787,3.613448199805221
37,Wisconsin,15.829170274494723,25.523616514906344,1.6124418445376205
38,Wyoming,12.320810020608961,13.330461569511462,1.0819468482359245
